Produto;Nome;Variação 1;Variação 2;Variação 3;Estoque;Preço;Preço de custo;Nome do fornecedor
65D211;BRINCO COSTELA DE ADÃO PRATA;;;;1;35,00;;
65D1FB;COSTELA DE ADÃO OURO VELHO;;;;1;32,00;;
65D141;BRINCO JASMIM;Branco;;;1;29,00;;
65D141;BRINCO JASMIM;Laranja;;;1;29,00;;
65D141;BRINCO JASMIM;Vinho;;;1;29,00;;
65D141;BRINCO JASMIM;Marrom;;;1;29,00;;
65AD1D;BRINCO CÍRCULO;;;;1;20,00;;
65AD0F;BRINCO VIBRANTE;;;;1;26,00;;
65ACFF;BRINCO EGÍPCIA;;;;1;25,00;;
65ACF4;BRINCO SURI;;;;1;20,00;;
65ACEB;BRINCO LALUNA BÚZIO;;;;1;18,00;;
65ACE1;BRINCO YUMI;Preto;;;1;25,00;;
65ACE1;BRINCO YUMI;Azul;;;1;25,00;;
65ACCF;BRINCO CHIARA;;;;1;25,00;;
65ACC6;BRINCO SCARLET;;;;1;25,00;;
65ACC2;BRINCO TRIÂNGULO;;;;1;25,00;;
65ACB4;BRINCO DIGNA;;;;1;25,00;;
65AC91;BRINCO LALUNA;;;;1;25,00;;
65AC79;BRINCO MANGA DOCE;;;;1;20,00;;
65AC51;BRINCO AMISTY;;;;1;30,00;;
65AC3C;ARGOLA MANGA DOCE;;;;1;18,00;;
6565C5;TOP PRETO 1 OMBRO SÓ;;;;1;29,00;;
656587;TOP 1 OMBRO SÓ ONÇA;;;;1;35,00;;
65657C;BODY PRETO BASIC;;;;1;39,00;;
655CF9;BODY ONÇA;;;;1;49,00;;
655CE8;BLUSA TULE CONSTELAÇÃO;;;;Esgotado;49,00;;
655C96;TOP COBRA 2;;;;1;35,00;;
655C79;SAIA COBRA;;;;1;59,00;;
655C6F;TOP COBRA;;;;1;35,00;;
655C0F;SAIA ONÇA;;;;2;49,00;;
655BF3;CALÇA FLARE ONÇA;;;;2;69,00;;
631B4E;SHORT ET;G;;;1;69,90;;
631B35;SHORT BOLINHA;P;;;1;69,90;;
631AC2;TOP FAIXA COM ALÇA KIM;P;Verde;;1;20,00;;
631AC2;TOP FAIXA COM ALÇA KIM;P;Laranja;;2;20,00;;
631AC2;TOP FAIXA COM ALÇA KIM;M;Branco;;1;20,00;;
631A28;TOP FAIXA KYLIE;P;Branco;;1;20,00;;
631A28;TOP FAIXA KYLIE;P;Rosa;;1;20,00;;
631A28;TOP FAIXA KYLIE;P;Preto;;2;20,00;;
631A28;TOP FAIXA KYLIE;P;Verde;;1;20,00;;
60D41C;BRINCO SOL E LUA;;;;2;29,90;;
