Produto,Nome,Variação 1,Variação 2,Variação 3,Estoque,Preço,Preço de custo,Nome do fornecedor
66B486,BODY PRAIÔ,Único,Azul,,1,65,0,
66B46F,ÓCULOS RETRO,Único,Preto,,1,79,0,
66B460,BLUSÃO BICOLOR,Único,Azul,,1,149,90,
66B438,BOLSA ESTRUTURADA PRETA,,,,1,111,90,
66B35A,MACACÃO JEANS,G,Azul,,1,120,0,
660537,,,,,1,35,0,
660514,BRINCO LUA,,,,1,39,0,stuff bijoux
660500,BRINCO LUA NEGRA,,,,1,35,0,
6604F2,BRINCO COSTELA DE ADÃO,,,,1,35,0,
6.60E+03,BRINCO COSTELA DE ADÃO,,,,1,35,0,
6604C7,BRINCO DIVA,,,,1,29,0,
6604BE,BRINCO LUA CHEIA,,,,1,29,0,Stuff bijoux
660449,BRINCO CHUVA PRATA,,,,1,29,0,Stuff Bijoux
65FA20,BRINCO TULUM,,,,1,39,0,Stuff Bijoux
65F9FF,BRINCO TIE DYE,Único,Cinza,,1,32,0,Stuff Bijoux
65F9FF,BRINCO TIE DYE,Único,Azul,,1,32,0,Stuff Bijoux
65F9E9,BRINCO TASSEL DE SEDA,Único,Vinho,,1,35,0,Stuff Bijoux
65F9E9,BRINCO TASSEL DE SEDA,Único,Verde,,1,35,0,Stuff Bijoux
65F9E9,BRINCO TASSEL DE SEDA,Único,Marrom,,1,35,0,Stuff Bijoux
65F9E9,BRINCO TASSEL DE SEDA,Único,Cinza,,1,35,0,Stuff Bijoux
65F998,BRINCO GOTA,Único,Vermelho,,1,45,0,
65F998,BRINCO GOTA,Único,Preto,,1,45,0,
65F998,BRINCO GOTA,Único,Marrom,,1,45,0,
65F998,BRINCO GOTA,Único,Laranja,,1,45,0,
65F998,BRINCO GOTA,Único,Branco,,1,45,0,
65D211,BRINCO COSTELA DE ADÃO PRATA,,,,1,35,0,
65D1FB,COSTELA DE ADÃO OURO VELHO,,,,1,32,0,
65D141,BRINCO JASMIM,Branco,,,1,29,0,
65D141,BRINCO JASMIM,Laranja,,,1,29,0,
65D141,BRINCO JASMIM,Vinho,,,1,29,0,
65D141,BRINCO JASMIM,Marrom,,,1,29,0,
65AD1D,BRINCO CÍRCULO,,,,1,20,0,
65AD0F,BRINCO VIBRANTE,,,,1,26,0,
65ACFF,BRINCO EGÍPCIA,,,,1,25,0,
65ACF4,BRINCO SURI,,,,1,20,0,
65ACEB,BRINCO LALUNA BÚZIO,,,,1,18,0,
65ACE1,BRINCO YUMI,Preto,,,1,25,0,
65ACE1,BRINCO YUMI,Azul,,,1,25,0,
65ACCF,BRINCO CHIARA,,,,1,25,0,
65ACC6,BRINCO SCARLET,,,,1,25,0,
65ACC2,BRINCO TRIÂNGULO,,,,1,25,0,
65ACB4,BRINCO DIGNA,,,,1,25,0,
65AC91,BRINCO LALUNA,,,,1,25,0,
65AC79,BRINCO MANGA DOCE,,,,1,20,0,
65AC51,BRINCO AMISTY,,,,1,30,0,
65AC3C,ARGOLA MANGA DOCE,,,,1,18,0,
6565C5,TOP PRETO 1 OMBRO SÓ,,,,Esgotado,29,0,
656587,TOP 1 OMBRO SÓ ONÇA,,,,1,17,50,
65657C,BODY PRETO BASIC,,,,Esgotado,39,0,
655CF9,BODY ONÇA,,,,1,24,50,
655CE8,BLUSA TULE CONSTELAÇÃO,,,,Esgotado,49,0,
655C96,TOP COBRA 2,,,,Esgotado,35,0,
655C79,SAIA COBRA,,,,Esgotado,59,0,
655C6F,TOP COBRA,,,,Esgotado,35,0,
655C0F,SAIA ONÇA,,,,1,24,50,
655BF3,CALÇA FLARE ONÇA,,,,Esgotado,69,0,
631B4E,SHORT ET,G,,,Esgotado,69,90,
631B35,SHORT BOLINHA,P,,,Esgotado,69,90,
631AC2,TOP FAIXA COM ALÇA KIM,P,Verde,,1,20,0,
631AC2,TOP FAIXA COM ALÇA KIM,P,Laranja,,2,20,0,
631AC2,TOP FAIXA COM ALÇA KIM,M,Branco,,Esgotado,20,0,
631A28,TOP FAIXA KYLIE,P,Verde,,1,14,95,
631A28,TOP FAIXA KYLIE,P,Rosa,,1,14,95,
631A28,TOP FAIXA KYLIE,P,Preto,,2,14,95,
631A28,TOP FAIXA KYLIE,P,Branco,,1,14,95,
60D41C,BRINCO SOL E LUA,,,,2,29,90,
