Produto;Nome;Variação 1;Variação 2;Variação 3;Estoque;Preço;Preço de custo;Nome do fornecedor
660514;BRINCO LUA;;;;1;39,00;;stuff bijoux
660500;BRINCO LUA NEGRA;;;;1;35,00;;
6604F2;BRINCO COSTELA DE ADÃO;;;;1;35,00;;
6604E0;BRINCO COSTELA DE ADÃO;;;;1;35,00;;
6604C7;BRINCO DIVA;;;;1;29,00;;
6604BE;BRINCO LUA CHEIA;;;;1;29,00;;Stuff bijoux
660449;BRINCO CHUVA PRATA;;;;1;29,00;;Stuff Bijoux
65FA20;BRINCO TULUM;;;;1;39,00;;Stuff Bijoux
65F9FF;BRINCO TIE DYE;Único;Cinza;;1;32,00;;Stuff Bijoux
65F9FF;BRINCO TIE DYE;Único;Azul;;1;32,00;;Stuff Bijoux
65F9E9;BRINCO TASSEL DE SEDA;Único;Vinho;;1;35,00;;Stuff Bijoux
65F9E9;BRINCO TASSEL DE SEDA;Único;Verde;;1;35,00;;Stuff Bijoux
65F9E9;BRINCO TASSEL DE SEDA;Único;Marrom;;1;35,00;;Stuff Bijoux
65F9E9;BRINCO TASSEL DE SEDA;Único;Cinza;;1;35,00;;Stuff Bijoux
65F998;BRINCO GOTA;Único;Vermelho;;1;45,00;;
65F998;BRINCO GOTA;Único;Preto;;1;45,00;;
65F998;BRINCO GOTA;Único;Marrom;;1;45,00;;
65F998;BRINCO GOTA;Único;Laranja;;1;45,00;;
65F998;BRINCO GOTA;Único;Branco;;1;45,00;;
65D211;BRINCO COSTELA DE ADÃO PRATA;;;;1;35,00;;
65D1FB;COSTELA DE ADÃO OURO VELHO;;;;1;32,00;;
65D141;BRINCO JASMIM;Branco;;;1;29,00;;
65D141;BRINCO JASMIM;Laranja;;;1;29,00;;
65D141;BRINCO JASMIM;Vinho;;;1;29,00;;
65D141;BRINCO JASMIM;Marrom;;;1;29,00;;
