Produto;Nome;Variação 1;Variação 2;Variação 3;Estoque;Preço;Preço de custo;Nome do fornecedor
65AD1D;BRINCO CÍRCULO;;;;1;20,00;;
65AD0F;BRINCO VIBRANTE;;;;1;26,00;;
65ACFF;BRINCO EGÍPCIA;;;;1;25,00;;
65ACF4;BRINCO SURI;;;;1;20,00;;
65ACEB;BRINCO LALUNA BÚZIO;;;;1;18,00;;
65ACE1;BRINCO YUMI;Preto;;;1;25,00;;
65ACE1;BRINCO YUMI;Azul;;;1;25,00;;
65ACCF;BRINCO CHIARA;;;;1;25,00;;
65ACC6;BRINCO SCARLET;;;;1;25,00;;
65ACC2;BRINCO TRIÂNGULO;;;;1;25,00;;
65ACB4;BRINCO DIGNA;;;;1;25,00;;
65AC91;BRINCO LALUNA;;;;1;25,00;;
65AC79;BRINCO MANGA DOCE;;;;1;20,00;;
65AC51;BRINCO AMISTY;;;;1;30,00;;
65AC3C;ARGOLA MANGA DOCE;;;;1;18,00;;
