Day	Ad Name	Delivery Status	Delivery Level	Campaign Name	Ad Set Name	Reach	Impressions	Clicks (All)	Unique Link Clicks	Amount Spent (BRL)	CPC (All)	Reporting Starts	Reporting Ends
3/25/2019	Publicação do Instagram: ?? FOTO OFICIAL ??...	archived	ad	Publicação do Instagram: ?? FOTO OFICIAL ??...	Publicação do Instagram: ?? FOTO OFICIAL ??...	12	12	0		0.38		3/25/2019	3/25/2019
6/5/2019	Publicação do Instagram: CHRISTIAN LOUBOUTIN...	archived	ad	[remo] Publicação do Instagram: CHRISTIAN LOUBOUTIN...	Publicação do Instagram: CHRISTIAN LOUBOUTIN...	300	300	2	1	1.91	0.955	6/5/2019	6/5/2019
8/22/2019	Publicação do Instagram: Já imaginou vc fazendo a...	archived	ad	[remo] Publicação do Instagram: Já imaginou vc fazendo a...	Publicação do Instagram: Já imaginou vc fazendo a...	82	82	1	1	1.09	1.09	8/22/2019	8/22/2019
8/23/2019	Publicação do Instagram: Já imaginou vc fazendo a...	archived	ad	[remo] Publicação do Instagram: Já imaginou vc fazendo a...	Publicação do Instagram: Já imaginou vc fazendo a...	38	38	0		0.39		8/23/2019	8/23/2019
8/21/2019	Publicação do Instagram: Já imaginou vc fazendo a...	archived	ad	[remo] Publicação do Instagram: Já imaginou vc fazendo a...	Publicação do Instagram: Já imaginou vc fazendo a...	27	27	1	1	0.52	0.52	8/21/2019	8/21/2019
6/7/2019	Publicação do Instagram: BOLSA LOUIS VUITTON...	archived	ad	[remo] Publicação do Instagram: BOLSA LOUIS VUITTON...	Publicação do Instagram: BOLSA LOUIS VUITTON...	421	422	2	2	2.27	1.135	6/7/2019	6/7/2019
6/6/2019	Publicação do Instagram: BOLSA LOUIS VUITTON...	archived	ad	[remo] Publicação do Instagram: BOLSA LOUIS VUITTON...	Publicação do Instagram: BOLSA LOUIS VUITTON...	463	464	3	3	2.13	0.71	6/6/2019	6/6/2019
8/23/2019	Publicação do Instagram: Já imaginou vc fazendo a...	archived	ad	Publicação do Instagram: Já imaginou vc fazendo a...	Publicação do Instagram: Já imaginou vc fazendo a...	38	38	3	3	0.26	0.08666667	8/23/2019	8/23/2019
4/16/2019	"Publicação do Instagram: SORTEIO ??
??FOTO..."	archived	ad	"Publicação do Instagram: SORTEIO ??
??FOTO..."	"Publicação do Instagram: SORTEIO ??
??FOTO..."	139	139	6	5	1.7	0.28333333	4/16/2019	4/16/2019
4/17/2019	"Publicação do Instagram: SORTEIO ??
??FOTO..."	archived	ad	"Publicação do Instagram: SORTEIO ??
??FOTO..."	"Publicação do Instagram: SORTEIO ??
??FOTO..."	150	150	9	8	1.3	0.14444444	4/17/2019	4/17/2019
6/7/2019	Publicação do Instagram: CHRISTIAN LOUBOUTIN...	archived	ad	[remo] Publicação do Instagram: CHRISTIAN LOUBOUTIN...	Publicação do Instagram: CHRISTIAN LOUBOUTIN...	309	309	2	2	2.26	1.13	6/7/2019	6/7/2019
6/4/2019	Publicação do Instagram: BOLSA LOUIS VUITTON...	archived	ad	[remo] Publicação do Instagram: BOLSA LOUIS VUITTON...	Publicação do Instagram: BOLSA LOUIS VUITTON...	50	50	1	1	1.01	1.01	6/4/2019	6/4/2019
6/4/2019	Publicação do Instagram: CHRISTIAN LOUBOUTIN...	archived	ad	[remo] Publicação do Instagram: CHRISTIAN LOUBOUTIN...	Publicação do Instagram: CHRISTIAN LOUBOUTIN...	89	89	0		1.38		6/4/2019	6/4/2019
6/8/2019	Publicação do Instagram: CHRISTIAN LOUBOUTIN...	archived	ad	[remo] Publicação do Instagram: CHRISTIAN LOUBOUTIN...	Publicação do Instagram: CHRISTIAN LOUBOUTIN...	61	61	0		0.49		6/8/2019	6/8/2019
8/23/2019	Publicação do Instagram: Já imaginou vc fazendo a...	archived	ad	Publicação do Instagram: Já imaginou vc fazendo a...	Publicação do Instagram: Já imaginou vc fazendo a...	2	2	0		0.06		8/23/2019	8/23/2019
6/19/2019	"Publicação do Instagram: ?????????????? (???????? ??????????????)
A..."	archived	ad	"Publicação do Instagram: ?????????????? (???????? ??????????????)
A..."	"Publicação do Instagram: ?????????????? (???????? ??????????????)
A..."	182	182	2	2	0.89	0.445	6/19/2019	6/19/2019
