"Reporting Starts","Reporting Ends","Campaign Name","Campaign Delivery","Ad Set Budget","Ad Set Budget Type",Results,"Result Indicator",Reach,Impressions,"Cost per Results","Amount Spent (BRL)",Ends,Frequency,"Unique Link Clicks","Website Purchases Conversion Value","Link Clicks","Website Purchases","Landing Page Views","Cost per Landing Page View (BRL)","Post Engagement","Page Engagement","3-Second Video Views","Video Percentage Watched","Video Average Watch Time","Clicks (All)"
2019-04-25,2019-04-25,"[remo] Post Engagement",completed,"Using ad set budget",0,,,0,0,,0,2019-03-08,0,,,,,,,,,,0,00:00:00,0
2019-04-25,2019-04-25,"[remo] Reach",active,"Using ad set budget",0,2447,reach,2447,2493,2.4642419288925,6.03,Contínuo,1.0187985288108,1,,1,,,,107,107,105,12.62,00:00:01,3
2019-04-25,2019-04-25,"[remo] Messages",not_delivering,"Using ad set budget",0,,,0,0,,0,2019-03-08,0,,,,,,,,,,0,00:00:00,0
2019-04-25,2019-04-25,"[remo-kill] Traffic",inactive,4,Daily,,,0,0,,0,Contínuo,0,,,,,,,,,,0,00:00:00,0
2019-04-25,2019-04-25,"[remo] Post Engagement",archived,"Using ad set budget",0,,,0,0,,0,2018-11-05,0,,,,,,,,,,0,00:00:00,0
2019-04-25,2019-04-25,"[remo-kill] Post Engagement",inactive,4,Daily,,,0,0,,0,Contínuo,0,,,,,,,,,,0,00:00:00,0
2019-04-25,2019-04-25,"[remo] Event Responses",not_delivering,"Using ad set budget",0,,,0,0,,0,2019-04-13,0,,,,,,,,,,0,00:00:00,0
2019-04-25,2019-04-25,"[remo] Catalog Sales",inactive,"Using ad set budget",0,,,0,0,,0,Contínuo,0,,,,,,,,,,0,00:00:00,0
2019-04-25,2019-04-25,"[remo] Lead generation",inactive,"Using ad set budget",0,,,0,0,,0,2018-03-26,0,,,,,,,,,,0,00:00:00,0
2019-04-25,2019-04-25,"[remo] Conversions",inactive,"Using ad set budget",0,,,0,0,,0,2018-03-07,0,,,,,,,,,,0,00:00:00,0
2019-04-24,2019-04-24,"[remo] Post Engagement",completed,"Using ad set budget",0,,,0,0,,0,2019-03-08,0,,,,,,,,,,0,00:00:00,0
2019-04-24,2019-04-24,"[remo] Reach",active,"Using ad set budget",0,4059,reach,4059,4213,2.4611973392461,9.99,Contínuo,1.0379403794038,3,,3,,,,142,142,139,10.78,00:00:01,14
2019-04-24,2019-04-24,"[remo] Messages",not_delivering,"Using ad set budget",0,,,0,0,,0,2019-03-08,0,,,,,,,,,,0,00:00:00,0
2019-04-24,2019-04-24,"[remo-kill] Traffic",inactive,4,Daily,,,0,0,,0,Contínuo,0,,,,,,,,,,0,00:00:00,0
2019-04-24,2019-04-24,"[remo] Post Engagement",archived,"Using ad set budget",0,,,0,0,,0,2018-11-05,0,,,,,,,,,,0,00:00:00,0
2019-04-24,2019-04-24,"[remo-kill] Post Engagement",inactive,4,Daily,,,0,0,,0,Contínuo,0,,,,,,,,,,0,00:00:00,0
2019-04-24,2019-04-24,"[remo] Event Responses",not_delivering,"Using ad set budget",0,,,0,0,,0,2019-04-13,0,,,,,,,,,,0,00:00:00,0
2019-04-24,2019-04-24,"[remo] Catalog Sales",inactive,"Using ad set budget",0,,,0,0,,0,Contínuo,0,,,,,,,,,,0,00:00:00,0
2019-04-24,2019-04-24,"[remo] Lead generation",inactive,"Using ad set budget",0,,,0,0,,0,2018-03-26,0,,,,,,,,,,0,00:00:00,0
2019-04-24,2019-04-24,"[remo] Conversions",inactive,"Using ad set budget",0,,,0,0,,0,2018-03-07,0,,,,,,,,,,0,00:00:00,0
2019-04-23,2019-04-23,"[remo] Post Engagement",completed,"Using ad set budget",0,,,0,0,,0,2019-03-08,0,,,,,,,,,,0,00:00:00,0
2019-04-23,2019-04-23,"[remo] Reach",active,"Using ad set budget",0,4214,reach,4214,4376,2.3113431419079,9.74,Contínuo,1.0384432842905,10,,10,,1,9.74,220,220,210,13.42,00:00:01,20
2019-04-23,2019-04-23,"[remo] Messages",not_delivering,"Using ad set budget",0,,,0,0,,0,2019-03-08,0,,,,,,,,,,0,00:00:00,0
2019-04-23,2019-04-23,"[remo-kill] Traffic",inactive,4,Daily,,,0,0,,0,Contínuo,0,,,,,,,,,,0,00:00:00,0
2019-04-23,2019-04-23,"[remo] Post Engagement",archived,"Using ad set budget",0,,,0,0,,0,2018-11-05,0,,,,,,,,,,0,00:00:00,0
2019-04-23,2019-04-23,"[remo-kill] Post Engagement",inactive,4,Daily,,,0,0,,0,Contínuo,0,,,,,,,,,,0,00:00:00,0
2019-04-23,2019-04-23,"[remo] Event Responses",not_delivering,"Using ad set budget",0,,,0,0,,0,2019-04-13,0,,,,,,,,,,0,00:00:00,0
2019-04-23,2019-04-23,"[remo] Catalog Sales",inactive,"Using ad set budget",0,,,0,0,,0,Contínuo,0,,,,,,,,,,0,00:00:00,0
2019-04-23,2019-04-23,"[remo] Lead generation",inactive,"Using ad set budget",0,,,0,0,,0,2018-03-26,0,,,,,,,,,,0,00:00:00,0
2019-04-23,2019-04-23,"[remo] Conversions",inactive,"Using ad set budget",0,,,0,0,,0,2018-03-07,0,,,,,,,,,,0,00:00:00,0
2019-04-22,2019-04-22,"[remo] Post Engagement",completed,"Using ad set budget",0,,,0,0,,0,2019-03-08,0,,,,,,,,,,0,00:00:00,0
