"# Required | Enter a unique ID for the item, such as a SKU. If there are multiple instances of the same ID, these will be ignored. | Max characters: 100",# Required | The title of the item. | Max character limit: 100,# Required | A short description describing the item. | Max character limit: 5000,"# Required | The current availability of the item in your store. | Supported values: in stock, available for order, preorder, out of stock, discontinued","# Required | The current condition of the item in your store. | Supported values: new, refurbished, used",# Required | The cost and currency of the item. The price is a number followed by the currency code (ISO 4217 standards).,# Required | The URL of the website where you can buy the item. ,"# Required | The URL for the image used in your ad. For square (1:1) aspect ratios in the carousel ad format, your image should be 600x600. For single image ads, your image should be at least 1200x630 ","# Required | You can use unique manufacturer part number (MPN), Global Trade Item Number (GTIN), or brand name for your product. You only need to use one of these values for this column (not all of them). | Supported values for GTIN: UPC, EAN, JAN and ISBN | Max character limit: 70","# Optional | Additional image URLs for the item. You can include up to 10 image URLs. Use "","" to separate each URL. | Max character limit: 2000","# Optional | The age group for your item. | Supported values: newborn, infant, toddler, kids, adult",# Optional | The item color. | Max character limit: 100,"# Optional | The item's gender. | Supported values: male, female, unisex","# Optional | Items that are varients of a specific product. Provide the same item_group_id for all items that are varients. For example, a red Polo Shirt is a variant of Polo Shirt. Facebook maps this to the retailer_product_group_id once we get your feed. For dynamic ads, Facebook picks only one item out of the group based on the signal we receive from the pixel or app event.",# Optional | A preset value from Google's product taxonomy. For example: Apparel & Accessories > Clothing > Dresses | Max character limit: 250,"# Optional | The material the product is made from, such as cotton, denim or leather. | Max character limit: 200",# Optional | Pattern or graphic print on a product. | Max character limit: 100,# Optional | The category the product belongs in. For example: Home & Garden > Kitchen & Dining > Appliances > Refrigerators | Max character limit: 750,"# Optional | The discounted cose and currency code for the product if it's on sale. The sale price is a number followed by the currency code (ISO 4217 standards). Use ""."" as the decimal for the sale price. The sale price is required if you plan on using an overlay for discounted prices.","# Optional | The start and end date and time for your sale, written as: YYYY-MM-DDT0:00-23:59/YYYY-MM-DDT0:00-23:59.","# Optional | The type of shipping for the item, written as: COUNTRY:STATE:SHIPPING_TYPE:PRICE. Use "";"" to separate different regions. For example: US:CA:Ground:9.99 USD,US:NY:Air:15.99 USD","# Optional | The shipping weight of the item. | Supported values: lb, oz, g, kg",# Optional | The size of the item. For example: small or XL.,# Optional | Additional information about the product you want to include. | Max character limit: 100,# Optional | Additional information about the product you want to include. | Max character limit: 100,# Optional | Additional information about the product you want to include. | Max character limit: 100,# Optional | Additional information about the product you want to include. | Max character limit: 100,# Optional | Additional information about the product you want to include. | Max character limit: 100
id,title,description,availability,condition,price,link,image_link,brand,additional_image_link,age_group,color,gender,item_group_id,google_product_category,material,pattern,product_type,sale_price,sale_price_effective_date,shipping,shipping_weight,size,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
561670,Saco Franjão,Bolsa de couro,available for order,new,109.00 BRL,https://www.mhacessorio.com.br/pd-561670-saco-p-franjao-caramelo.html,https://s3.amazonaws.com/img.iluria.com/product/561670/D1A46B/850xN.jpg,MH,https://s3.amazonaws.com/img.iluria.com/product/561670/D1A46D/850xN.jpg,adult,Caramelo,female,Saco,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",leather,,Apparel & Accessories > Clothing > Shirts,92.65 BRL,2018-05-14T0:00-23:59/2017-05-19T0:00-23:59,,,P,100% couro legítimo.,Não possui forro,,,
56004E,Saco,Bolsa de couro,available for order,new,145.00 BRL,https://www.mhacessorio.com.br/pd-56004e-saco-m-caramelo.html,https://s3.amazonaws.com/img.iluria.com/product/56004E/D16C74/850xN.jpg,MH,,adult,Caramelo,female,Saco,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",leather,,Apparel & Accessories > Clothing > Shirts,,,,,M,100% couro legítimo.,Não possui forro,,,
56007B,Saco,Bolsa de couro,available for order,new,145.00 BRL,https://www.mhacessorio.com.br/pd-56007b-saco-m-caramelo-bruto.html,https://s3.amazonaws.com/img.iluria.com/product/56007B/D16CEB/850xN.jpg,MH,,adult,Caramelo Bruto,female,Saco,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",leather,,Apparel & Accessories > Clothing > Shirts,,,,,M,100% couro legítimo.,Não possui forro,,,
560054,Saco,Bolsa de couro,available for order,new,145.00 BRL,https://www.mhacessorio.com.br/pd-560054-saco-m-preta.html,https://s3.amazonaws.com/img.iluria.com/product/560054/D16C92/850xN.jpg,MH,,adult,Preta,female,Saco,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",leather,,Apparel & Accessories > Clothing > Shirts,,,,,M,100% couro legítimo.,Não possui forro,,,
560049,Saco,Bolsa de couro,available for order,new,145.00 BRL,https://www.mhacessorio.com.br/pd-560049-saco-m-verde-limao.html,https://s3.amazonaws.com/img.iluria.com/product/560049/D16C5E/850xN.jpg,MH,https://s3.amazonaws.com/img.iluria.com/product/560049/D16C62/850xN.jpg,adult,Verde Limão,female,Saco,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",leather,,Apparel & Accessories > Clothing > Shirts,,,,,M,100% couro legítimo.,Não possui forro,,,
560023,Mochila Saco,Bolsa de couro,available for order,new,179.00 BRL,https://www.mhacessorio.com.br/pd-560023-mochila-saco-caramelo.html,https://s3.amazonaws.com/img.iluria.com/product/560023/D16BD7/850xN.jpg,MH,"https://s3.amazonaws.com/img.iluria.com/product/560023/D16BD5/850xN.jpg,https://s3.amazonaws.com/img.iluria.com/product/560023/D16BDA/850xN.jpg",adult,Caramelo,female,Saco,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",leather,,Apparel & Accessories > Clothing > Shirts,,,,,,100% couro legítimo.,Não possui forro,,,
561666,Bracinho,Bolsa de couro,available for order,new,189.00 BRL,https://www.mhacessorio.com.br/pd-561666-bracinho-preta.html,https://s3.amazonaws.com/img.iluria.com/product/561666/D1A444/850xN.jpg,MH,https://s3.amazonaws.com/img.iluria.com/product/561666/D1A447/850xN.jpg,adult,Preta,female,Bracinho,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",leather,,Apparel & Accessories > Clothing > Shirts,,,,,,100% couro legítimo.,Não possui forro,,,
561633,Bracinho,Bolsa de couro,available for order,new,189.00 BRL,https://www.mhacessorio.com.br/pd-561633-bracinho-marfim.html,https://s3.amazonaws.com/img.iluria.com/product/561633/D1A3B0/850xN.jpg,MH,,adult,Marfim,female,Bracinho,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",leather,,Apparel & Accessories > Clothing > Shirts,,,,,,100% couro legítimo.,Não possui forro,,,
560413,2 Alças,Bolsa de couro,available for order,new,159.00 BRL,https://www.mhacessorio.com.br/pd-560413-2-alcas-p-caramelo.html,https://s3.amazonaws.com/img.iluria.com/product/560413/D1752D/850xN.jpg,MH,"https://s3.amazonaws.com/img.iluria.com/product/560413/D1752F/850xN.jpg,https://s3.amazonaws.com/img.iluria.com/product/560413/D17531/850xN.jpg",adult,Caramelo,female,2 Alças,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",leather,,Apparel & Accessories > Clothing > Shirts,,,,,P,100% couro legítimo.,Não possui forro,,,
560404,2 Alças,Bolsa de couro,available for order,new,159.00 BRL,https://www.mhacessorio.com.br/pd-560404-2-alcas-p-preta.html,https://s3.amazonaws.com/img.iluria.com/product/560404/D174FF/850xN.jpg,MH,https://s3.amazonaws.com/img.iluria.com/product/560404/D17505/850xN.jpg,adult,Preta,female,2 Alças,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",leather,,Apparel & Accessories > Clothing > Shirts,,,,,P,100% couro legítimo.,Não possui forro,,,
